fixture	1	2	how can the feature toggle be switched off after the page reloads itself	disable the boolean flag that controls the reload behaviour of the page	how can the feature toggle be switched off after the page reloads itself	disable the boolean flag that controls the reload behaviour of the page
fixture	3	4	the upload keeps failing with a strange error about missing headers	an exception is raised inside the request handler when headers are absent	the upload keeps failing with a strange error about missing headers	an exception is raised inside the request handler when headers are absent
fixture	5	6	undo the last deployment because the service now returns empty replies	rollback the release so the previous build serves traffic again	undo the last deployment because the service now returns empty replies	rollback the release so the previous build serves traffic again
fixture	7	8	why does the session expire while the form is still being filled in	the login timeout fires before the submit request reaches the server	why does the session expire while the form is still being filled in	the login timeout fires before the submit request reaches the server
fixture	9	10	revert the schema change that renamed the customer table columns	rollback the migration and restore the earlier column names	revert the schema change that renamed the customer table columns	rollback the migration and restore the earlier column names
fixture	11	12	the settings switch stays grey and cannot be pressed on the panel	the toggle control is disabled because the parent flag is unset	the settings switch stays grey and cannot be pressed on the panel	the toggle control is disabled because the parent flag is unset
fixture	13	14	saving the draft throws an error dialog with no useful message	the save handler hits an exception when the draft folder is missing	saving the draft throws an error dialog with no useful message	the save handler hits an exception when the draft folder is missing
fixture	15	16	turn the beta features off for every user in the workspace	clear the boolean flags that gate the beta features per workspace	turn the beta features off for every user in the workspace	clear the boolean flags that gate the beta features per workspace
fixture	17	18	the report page loads forever and then shows a blank screen	rendering stalls because the query never finishes and times out	the report page loads forever and then shows a blank screen	rendering stalls because the query never finishes and times out
fixture	19	20	how do i restore the database from the nightly dump file	load the backup into a fresh instance and point the app at it	how do i restore the database from the nightly dump file	load the backup into a fresh instance and point the app at it
fixture	21	22	the checkbox for dark mode does not remember its state	persist the toggle value so the preference survives a reload	the checkbox for dark mode does not remember its state	persist the toggle value so the preference survives a reload
fixture	23	24	remove the stale cache entries that keep serving old prices	invalidate the cached rows so the new prices are read from disk	remove the stale cache entries that keep serving old prices	invalidate the cached rows so the new prices are read from disk
fixture	25	26	the build fails on the runner but works fine on my machine	the pipeline error comes from a missing dependency in the runner image	the build fails on the runner but works fine on my machine	the pipeline error comes from a missing dependency in the runner image
fixture	27	28	undo a merge that brought in the wrong branch by mistake	revert the merge commit so the branch history is clean again	undo a merge that brought in the wrong branch by mistake	revert the merge commit so the branch history is clean again
fixture	29	30	why is the api returning the same page twice in a row	the pagination cursor is not advanced so the endpoint repeats results	why is the api returning the same page twice in a row	the pagination cursor is not advanced so the endpoint repeats results
fixture	31	32	the password reset mail never arrives for some accounts	mail delivery fails silently when the address contains a plus sign	the password reset mail never arrives for some accounts	mail delivery fails silently when the address contains a plus sign
fixture	33	34	flip the maintenance banner on without redeploying the site	set the runtime flag that shows the banner across every page	flip the maintenance banner on without redeploying the site	set the runtime flag that shows the banner across every page
fixture	35	36	the export button downloads an empty spreadsheet every time	the export job raises an exception before any rows are written	the export button downloads an empty spreadsheet every time	the export job raises an exception before any rows are written
fixture	37	38	roll the config back to the version from last tuesday	restore the earlier configuration snapshot and restart the workers	roll the config back to the version from last tuesday	restore the earlier configuration snapshot and restart the workers
fixture	39	40	the timer widget drifts by a few seconds every hour	the interval callback accumulates delay because the tick is not anchored	the timer widget drifts by a few seconds every hour	the interval callback accumulates delay because the tick is not anchored
fixture	41	42	grey out the submit control until every field validates	bind the button state to a boolean that tracks form validity	grey out the submit control until every field validates	bind the button state to a boolean that tracks form validity
fixture	43	44	the search box ignores quoted phrases and splits every word	phrase queries are tokenized apart because the parser drops the quotes	the search box ignores quoted phrases and splits every word	phrase queries are tokenized apart because the parser drops the quotes
fixture	45	46	stop the retry loop from hammering the endpoint after failures	cap the retries with a backoff flag so the endpoint can recover	stop the retry loop from hammering the endpoint after failures	cap the retries with a backoff flag so the endpoint can recover
fixture	47	48	the profile photo upload silently drops files over two megabytes	the size guard rejects the upload but the error is never surfaced	the profile photo upload silently drops files over two megabytes	the size guard rejects the upload but the error is never surfaced
